Item_id,Name,Category,Price
1,Chicken Wings,Dessert,18.0
2,Fried Plantain,Main Course,54.0
3,Moi Moi,Main Course,16.0
4,Chicken Wings,Appetizer,50.0
5,Zobo Drink,Dessert,40.0
6,Pepper Soup,Dessert,38.0
7,Fufu,Appetizer,12.0
8,Fufu,Dessert,71.0
9,Jollof Rice,Beverage,12.0
10,Fried Plantain,Beverage,60.0
11,Moi Moi,Main Course,34.0
12,Egusi Soup,Appetizer,36.0
13,Chicken Wings,Dessert,67.0
14,Fried Plantain,Dessert,97.0
15,Okra Soup,Main Course,62.0
16,Fufu,Appetizer,35.0
17,Zobo Drink,Beverage,29.0
18,Goat Meat,Appetizer,53.0
19,Fufu,Dessert,89.0
20,Fried Plantain,Dessert,17.0
21,Goat Meat,Dessert,89.0
22,Goat Meat,Appetizer,70.0
23,Jollof Rice,Main Course,84.0
24,Okra Soup,Main Course,13.0
25,Okra Soup,Beverage,3.0
26,Fried Plantain,Appetizer,77.0
27,Jollof Rice,Dessert,70.0
28,Chicken Wings,Main Course,96.0
29,Moi Moi,Appetizer,25.0
30,Pounded Yam,Dessert,27.0
31,Pepper Soup,Appetizer,24.0
32,Jollof Rice,Appetizer,50.0
33,Suya,Appetizer,74.0
34,Okra Soup,Beverage,5.0
35,Egusi Soup,Dessert,82.0
36,Okra Soup,Beverage,17.0
37,Okra Soup,Beverage,80.0
38,Goat Meat,Main Course,3.0
39,Pounded Yam,Beverage,95.0
40,Suya,Beverage,33.0
41,Moi Moi,Appetizer,89.0
42,Chicken Wings,Beverage,92.0
43,Pepper Soup,Dessert,60.0
44,Chicken Wings,Main Course,69.0
45,Goat Meat,Main Course,6.0
46,Goat Meat,Appetizer,94.0
47,Jollof Rice,Beverage,98.0
48,Jollof Rice,Main Course,28.0
49,Goat Meat,Dessert,18.0
50,Chicken Wings,Appetizer,76.0
